
set V := x1 x2 x3 x4 x5 x6 x7 x8 x9 ;

set C := e1 e2 e3 ;


param A := 
 e1 x3 x3  21.09
 e1 x3 x4  20.18
 e1 x3 x5  10.88
 e1 x3 x6  5.3
 e1 x3 x7  12.32
 e1 x3 x8  23.84
 e1 x3 x9  17.41
 e1 x4 x4  35.445
 e1 x4 x5  21.58
 e1 x4 x6  15.41
 e1 x4 x7  23.24
 e1 x4 x8  23.8
 e1 x4 x9  12.62
 e1 x5 x5  12.255
 e1 x5 x6  9.6
 e1 x5 x7  22.63
 e1 x5 x8  13.22
 e1 x5 x9  4.7
 e1 x6 x6  11.165
 e1 x6 x7  10.32
 e1 x6 x8  10.46
 e1 x6 x9  1
 e1 x7 x7  15.005
 e1 x7 x8  16.36
 e1 x7 x9  7.2
 e1 x8 x8  21.115
 e1 x8 x9  9.9
 e1 x9 x9  8.21 ;



param b :=
 e1 x1  -1
 e2 x2   1
 e2 x3  -0.1287
 e2 x4  -0.1096
 e2 x5  -0.0501
 e2 x6  -0.1524
 e2 x7  -0.0763
 e2 x8  -0.1854
 e2 x9  -0.062
 e3 x3  1
 e3 x4  1
 e3 x5  1
 e3 x6  1
 e3 x7  1
 e3 x8  1
 e3 x9  1 ;
 


param:  c    cl    cu := 
 e1     0  -Inf     0
 e2     0     0     0
 e3    -1     0     0 ;


param:   xl   xu   z :=
  x1      0    7   1
  x2  0.115 0.115  0
  x3      0    1   0 
  x4      0    1   0 
  x5      0    1   0 
  x6      0    1   0 
  x7      0    1   0 
  x8      0    1   0
  x9      0    1   0;
  
  
